Turtle ID,Trip Date,Trip Month,Trip Day, BMI,Hemolysis,Lipemia,Amylase ,AST  ,CPK  ,Calcium  ,Cholesterol  ,Potassium   ,Magnesium  ,Sodium  ,Chloride  ,CO2  ,Glucose  ,BUN ,Anion Gap  ,Osmolality  ,Phosphorus  ,UricAcid  ,Total Protein  ,Triglycerides ,Total Protein (3.2-5.6)    (g/dl)
CC052519-03,5/25/19,5,25,15.30,0,0,455,151,821,11.8,151,3.8,4.8,140,111,19,39,10,10,266,9.7,0.3,4.3,559,4.3
CC053019-01,5/30/19,5,30,14.10,2,0,631,191,8512,10.9,210,4.6,5,136,120,9,45,10,7,259,9.7,0.2,4.9,531,4.9
CC053019-02,5/30/19,5,30,13.50,2,0,682,252,1005,13.1,282,4.8,5.3,141,121,8,65,10,12,269,9,0.5,6.6,1719,6.6
CC053019-03,5/30/19,5,30,12.20,1,0,490,270,366,11.4,157,3.2,5.2,138,117,16,57,12,5,264,8.6,0.2,4.3,514,4.3
CC053119-02,5/31/19,5,31,13.40,1,0,585,231,703,11.1,251,3.3,5.1,141,116,20,74,11,5,270,7.7,0.6,4.8,1455,4.8
CC061219-01,6/12/19,6,12,14.90,0,0,537,126,347,12.4,306,3.1,4.9,141,113,23,83,10,5,270,10,0.5,4.9,1482,4.9
CC062619-01,6/26/19,6,26,12.20,0,2,848,139,1086,10.9,179,3.6,4.8,132,115,5,90,8,4,253,12.7,0.8,6.1,1772,6.1
CC071019-01,7/10/19,7,10,11.40,1,0,546,222,1565,8.7,177,3.3,7.1,139,118,18,95,11,3,268,9.2,0.2,4.3,506,4.3
CC072419-01,7/24/19,7,24,13.00,1,0,137,147,481,7.7,103,3.5,5.7,144,127,20,72,17,-3,278,5.2,0.3,2.9,80,2.9
CC072419-02,7/24/19,7,24,11.80,1,0,351,146,5183,9.8,214,4.5,5.1,145,122,19,100,12,4,280,8.6,0.4,3.7,198,3.7
CC080119-01,8/1/19,8,1,12.70,2,0,350,173,7407,8.3,151,4.6,5.8,144,127,14,87,15,3,278,9.8,0.2,3.6,135,3.6
CC080319-01,8/3/19,8,3,15.10,1,0,310,185,820,8.6,185,4.1,5.3,145,125,16,86,16,4,280,7.6,0.2,4.4,145,4.4
CC080819-01,8/8/19,8,8,13.80,2,0,491,182,1013,10.4,177,4.1,4.7,141,123,19,96,15,-1,273,6.6,0.2,3.9,177,3.9
CC081019-01,8/10/19,8,10,12.60,0,0,367,236,258,13.1,177,3.9,5.8,151,134,18,88,9,-1,289,10.6,0.5,4.4,533,4.4
CC081019-02,8/10/19,8,10,11.80,1,0,520,190,749,10.1,194,4.6,5.9,147,123,18,74,8,6,280,7.4,0.3,3.9,206,3.9
CC081019-03,8/10/19,8,10,15.10,0,0,563,140,1057,8.6,131,5.2,6.9,148,124,20,78,14,4,285,9.8,0.4,3.2,139,3.9
CC081519-01,8/15/19,8,15,11.20,0,0,303,112,323,8.6,150,3.6,5.9,146,122,19,83,26,5,285,10,0.2,3.1,63,3.1
CC081719-01,8/17/19,8,17,12.90,0,0,579,130,1072,10.2,179,4.3,5.4,147,124,16,98,16,7,285,8.2,0.4,4,102,4
