Month Laid,Zone,Latitude,Longitude,GPS acc (m),Green,Loggerhead,Leatherback,Dist
6,17,27.71866428,-80.37659838,5,0,1,0,0
6,15,27.73515203,-80.38187267,5,1,0,0,0
6,10,27.76219988,-80.39615044,5,1,0,0,0
6,15,27.73550847,-80.38205674,5,0,1,0,0
6,14,27.73921946,-80.38346626,5,1,0,0,0
6,10,27.75742189,-80.39321696,5,1,0,0,0
6,17,27.714081,-80.37524705,5,0,1,0,0
6,15,27.73254,-80.38081184,5,1,0,0,0
6,14,27.74210431,-80.38480985,5,0,1,0,0
6,17,27.71221261,-80.37484606,5,1,0,0,0
6,13,27.74839918,-80.38799259,5,1,0,0,0
6,14,27.73850128,-80.38327794,5,1,0,0,0
6,17,27.71864905,-80.37665151,5,1,0,0,0
6,15,27.72975969,-80.38000292,5,1,0,0,0
6,11,27.75121385,-80.38943939,5,1,0,0,0
6,10,27.75999421,-80.3949849,5,1,0,0,0
6,10,27.75882034,-80.39434059,5,1,0,0,0
6,15,27.73524616,-80.38185651,5,1,0,0,0
6,17,27.71393833,-80.37534068,10,1,0,0,0
6,17,27.71404057,-80.37534701,5,0,1,0,0
7,17,27.71275111,-80.3748871,10,1,0,0,0
7,10,27.7618381,-80.39603217,5,1,0,0,0
7,10,27.76069105,-80.39534292,5,0,1,0,0
6,10,27.75756071,-80.39332368,5,0,1,0,0
6,15,27.73337126,-80.3812018,5,1,0,0,0
6,10,27.7628239,-80.39651425,5,0,1,0,0
6,9,27.76743728,-80.39873782,5,1,0,0,0
6,9,27.76554365,-80.39777829,5,1,0,0,0
6,15,27.73233712,-80.38076345,5,1,0,0,0
6,11,27.75077265,-80.38914338,5,1,0,0,0
6,11,27.7546131,-80.39145955,5,1,0,0,0
6,10,27.76044854,-80.39542842,5,1,0,0,0
6,15,27.73083497,-80.38027702,5,1,0,0,0
6,17,27.71656278,-80.37608075,5,0,1,0,0
6,10,27.76058787,-80.39548508,5,0,1,0,0
5,13,27.7504962,-80.38914609,5,1,0,0,0
6,10,27.75879462,-80.39405276,5,0,1,0,0
6,11,27.75542763,-80.39193737,5,0,1,0,0
6,9,27.76714515,-80.39862001,5,0,1,0,0
6,10,27.75768947,-80.39328152,5,0,1,0,0
6,9,27.76717654,-80.39858874,5,0,1,0,0
6,9,27.76413188,-80.39709101,5,0,1,0,0
6,10,27.76253483,-80.39638201,5,0,1,0,0
6,15,27.7325587,-80.3808298,5,0,0,1,0
6,13,27.7462663,-80.38694122,5,1,0,0,0
6,11,27.75368857,-80.39089482,5,0,1,0,0
6,10,27.75838595,-80.39377921,5,0,1,0,0
6,16,27.7283948,-80.37959051,5,1,0,0,0
6,15,27.73689301,-80.38262292,5,1,0,0,0
6,11,27.75064275,-80.38907977,5,0,1,0,0
6,15,27.73288692,-80.38097079,5,1,0,0,0
6,9,27.76301043,-80.39661462,5,1,0,0,0
6,17,27.71839924,-80.37641598,5,0,1,0,0
6,17,27.71984149,-80.37704918,5,0,1,0,0
7,15,27.73228713,-80.38082663,5,1,0,0,0
7,15,27.73268787,-80.38094088,5,1,0,0,0
7,11,27.75634443,-80.39254499,5,1,0,0,0
7,11,27.75635982,-80.39259726,5,0,1,0,0
8,11,27.75670534,-80.39267118,5,0,1,0,0
7,10,27.76186885,-80.39616483,5,0,1,0,0
6,10,27.76056553,-80.39552328,5,0,1,0,0
7,15,27.73265577,-80.38092099,5,1,0,0,0
7,13,27.74979725,-80.38882041,5,1,0,0,0
7,10,27.75829382,-80.39381538,5,1,0,0,0
8,16,27.72603547,-80.37912397,5,1,0,0,1
8,14,27.7386805,-80.3833696,5,1,0,0,1
8,13,27.74992332,-80.38892854,5,1,0,0,1
8,16,27.72407568,-80.37859005,5,1,0,0,1
8,10,27.75865687,-80.39414552,5,1,0,0,1
5,10,27.76070431,-80.39538159,5,0,1,0,1
5,16,27.72219374,-80.37790242,5,0,1,0,1
5,16,27.72268114,-80.37803597,5,0,1,0,1
5,16,27.72173481,-80.37773832,5,0,1,0,1
5,10,27.75732262,-80.39305249,5,0,1,0,1
5,10,27.76051738,-80.39529067,5,0,1,0,1
5,14,27.74011046,-80.38381832,5,0,1,0,1
5,13,27.74707664,-80.38731102,5,0,1,0,1
5,10,27.75790557,-80.39343098,5,0,1,0,1
5,9,27.7632734,-80.39675495,5,0,1,0,1
5,16,27.72630805,-80.37907266,5,1,0,0,1
6,16,27.72863972,-80.37956724,10,0,1,0,1
6,9,27.76754775,-80.39884326,5,0,1,0,1
5,10,27.75797455,-80.39352987,5,0,1,0,1
6,15,27.73183073,-80.38061573,5,1,0,0,1
5,10,27.76236415,-80.3962866,5,0,1,0,1
5,16,27.72370338,-80.3784343,5,0,1,0,1
5,11,27.75207323,-80.38993527,5,0,1,0,1
6,11,27.75143874,-80.38960109,5,0,1,0,1
6,10,27.75817333,-80.39368193,5,0,1,0,1
6,15,27.73640382,-80.38231429,5,1,0,0,1
6,9,27.76404989,-80.39706998,5,1,0,0,1
6,10,27.75963515,-80.39464453,5,0,1,0,1
6,10,27.75726326,-80.3930045,5,0,1,0,1
6,10,27.75808454,-80.39358853,5,0,1,0,1
6,15,27.73346651,-80.38125434,5,1,0,0,1
6,11,27.75687014,-80.39274099,5,0,1,0,1
6,11,27.75414269,-80.3911493,10,0,1,0,1
6,15,27.72928973,-80.37981916,5,0,1,0,1
6,10,27.75827633,-80.39383437,5,1,0,0,1
6,11,27.75669503,-80.39268311,5,0,1,0,1
6,17,27.71956575,-80.37689792,5,0,1,0,1
7,11,27.75632926,-80.39246154,5,1,0,0,1
7,16,27.72172672,-80.37769757,10,0,1,0,1
7,11,27.75188018,-80.38988124,5,0,1,0,1
6,17,27.71654357,-80.37612823,5,1,0,0,1
7,9,27.76734779,-80.39871769,10,0,1,0,1
6,17,27.712447,-80.374742,,0,1,0,1
7,10,27.75875386,-80.3942482,5,1,0,0,1
7,15,27.72915323,-80.3797896,5,1,0,0,1
6,16,27.72501786,-80.37880632,5,1,0,0,1
6,17,27.72018267,-80.37714954,5,1,0,0,1
7,10,27.75795246,-80.3936267,10,0,1,0,1
7,9,27.76596202,-80.39798435,5,0,1,0,1
7,16,27.72290841,-80.37808869,5,1,0,0,1
7,15,27.72917845,-80.37978521,5,0,1,0,1
7,11,27.75095879,-80.38942382,10,1,0,0,1
7,9,27.76571046,-80.39784037,5,1,0,0,1
7,16,27.72566364,-80.37896984,5,1,0,0,1
7,14,27.73770735,-80.38292365,5,1,0,0,1
7,15,27.73202188,-80.38066813,5,1,0,0,1
7,15,27.73732973,-80.38276834,5,1,0,0,1
7,10,27.75709035,-80.39288587,5,0,1,0,1
7,15,27.73016264,-80.37996317,10,1,0,0,1
7,11,27.75528991,-80.39188669,5,0,1,0,1
7,10,27.75708062,-80.39291879,10,1,0,0,1
7,16,27.72816702,-80.37949133,5,1,0,0,1
7,9,27.76619869,-80.3980845,10,0,1,0,1
8,15,27.73679148,-80.38256849,5,1,0,0,2
8,13,27.74712357,-80.38744242,5,1,0,0,2
8,15,27.7320237,-80.38070324,5,1,0,0,2
9,13,27.74678669,-80.38721267,5,1,0,0,2
4,15,27.73290296,-80.38095177,5,0,1,0,2
5,11,27.75439079,-80.39128819,10,0,1,0,2
5,11,27.75323044,-80.39065217,5,0,1,0,2
5,10,27.76266371,-80.39645101,5,1,0,0,2
5,11,27.75284294,-80.39041912,5,0,1,0,2
5,14,27.74173488,-80.38456321,5,0,1,0,2
5,14,27.74350245,-80.38547526,5,1,0,0,2
5,16,27.72497505,-80.37878032,10,0,1,0,2
6,13,27.74981027,-80.38882188,5,1,0,0,2
7,9,27.76298837,-80.39661103,5,0,1,0,2
7,10,27.76003669,-80.39494266,5,0,1,0,2
6,15,27.73166202,-80.38050475,5,0,1,0,2
5,9,27.76544878,-80.39772155,5,0,1,0,2
7,10,27.75818586,-80.39360974,5,1,0,0,2
7,9,27.76536503,-80.39765317,5,0,1,0,2
7,9,27.76620715,-80.39811463,5,1,0,0,2
7,17,27.71286033,-80.37485911,5,1,0,0,2
7,11,27.75426068,-80.39120729,10,1,0,0,2
7,10,27.75791024,-80.39342138,5,0,1,0,2
7,9,27.76397038,-80.39703369,5,1,0,0,2
7,11,27.75107265,-80.38934679,5,1,0,0,2
7,15,27.73384194,-80.38130174,5,1,0,0,2
7,11,27.75205884,-80.38992241,5,1,0,0,2
7,9,27.76307823,-80.3966451,5,0,1,0,2
6,13,27.7475342,-80.38753472,5,0,1,0,2
7,11,27.75319863,-80.39059697,5,0,1,0,2
7,17,27.71773951,-80.37639997,10,1,0,0,2
7,9,27.76703118,-80.39853906,5,1,0,0,2
7,9,27.76505758,-80.39758688,5,0,1,0,2
7,15,27.73583773,-80.38208092,5,1,0,0,2
7,9,27.76696172,-80.39845905,5,0,1,0,2
8,10,27.75751327,-80.39324732,5,1,0,0,3
5,9,27.76643725,-80.39828884,5,0,1,0,3
5,9,27.76512546,-80.39756088,5,0,1,0,3
6,13,27.74619851,-80.38676823,5,0,1,0,3
6,11,27.75199256,-80.38999143,5,1,0,0,3
5,14,27.74097973,-80.38413917,5,0,1,0,3
6,9,27.76394057,-80.3970107,5,0,1,0,3
7,10,27.76226387,-80.39623714,5,0,1,0,3
8,14,27.73864102,-80.38322973,5,0,1,0,3
7,11,27.7551339,-80.39174579,5,0,1,0,3
8,17,27.7191131,-80.37681119,5,1,0,0,3
7,17,27.71721251,-80.37621742,5,0,1,0,3
7,10,27.76286487,-80.39658849,5,1,0,0,3
8,16,27.72856228,-80.37975825,5,1,0,0,4
7,11,27.75631754,-80.39236893,5,0,1,0,4
7,10,27.75794222,-80.39346026,5,0,1,0,4
7,10,27.76045833,-80.3952402,5,0,1,0,4
7,10,27.75770508,-80.39327458,5,0,1,0,4
7,10,27.75767858,-80.3932229,5,0,1,0,4
7,9,27.76665949,-80.39836489,5,0,1,0,4
7,17,27.71810978,-80.37638159,5,0,1,0,4
7,9,27.76470845,-80.39737526,5,1,0,0,5
7,10,27.7572782,-80.39312526,10,0,1,0,5
7,15,27.73506253,-80.38170718,5,1,0,0,5
8,13,27.74625222,-80.38695828,5,1,0,0,6
7,10,27.76228431,-80.39621826,5,0,1,0,6
7,15,27.7342976,-80.38141602,5,1,0,0,6
7,17,27.71649042,-80.37597899,5,0,1,0,6
6,16,27.72433125,-80.37865284,5,0,1,0,7
7,10,27.76286882,-80.39633959,5,0,1,0,7
7,9,27.76669638,-80.39836407,5,0,1,0,7
5,10,27.75798824,-80.39357233,5,1,0,0,8
7,17,27.71348307,-80.37512977,5,0,1,0,8
8,17,27.71993005,-80.37707721,5,1,0,0,9
7,11,27.7550685,-80.39171085,5,1,0,0,9
9,16,27.72469229,-80.37872667,5,1,0,0,9
8,9,27.76556024,-80.39780524,5,1,0,0,9
8,10,27.75909753,-80.39430486,5,0,1,0,9
8,14,27.74318201,-80.3853174,5,1,0,0,9
8,17,27.7148149,-80.37556949,10,1,0,0,10
6,9,27.76697784,-80.39851071,5,0,1,0,10
7,16,27.72578367,-80.37894504,5,0,1,0,10
7,11,27.75337271,-80.39071189,5,1,0,0,10
8,17,27.71486109,-80.37562214,5,1,0,0,11
8,9,27.76583655,-80.39793636,5,1,0,0,11
8,17,27.71734918,-80.37635989,5,1,0,0,12
4,17,27.7187706,-80.37662646,5,0,0,1,12
8,9,27.76598782,-80.39801993,10,1,0,0,12
8,9,27.76663395,-80.39830151,5,1,0,0,13
8,9,27.76415424,-80.39709097,5,1,0,0,13
8,9,27.76454875,-80.39729816,5,1,0,0,13
7,10,27.76012938,-80.39497317,5,0,1,0,13
8,10,27.76174374,-80.39596474,5,1,0,0,15
7,10,27.75714204,-80.39286389,5,0,1,0,15
8,17,27.71683927,-80.37618118,5,1,0,0,16
8,9,27.76698408,-80.39850317,5,0,1,0,16
8,17,27.71200795,-80.37459169,10,1,0,0,17
