Location,Year,Age,Suvey,Q1,Q2,Q3,Q4,Q5,Q6,Q7
Luruaco,2018,10,Pre,Domestic;,Reject;,Yes;,Domestic;,No;,No;,Yes;
Santa Catalina,2017,10,Pre,Domestic;,Accept;,No;,Domestic;Wild;,No;,No;,No;
Santa Catalina,2017,10,Pre,Domestic;,Accept;,Yes;,Domestic;,No;,No;,No;
Santa Catalina,2017,11,Pre,Domestic;,Accept;,Yes;,Domestic;Wild;,No;,No;,Yes;
Santa Catalina,2017,9,Pre,Domestic;,Reject;,Yes;,Domestic;,No;,No;,No;
Santa Catalina,2017,10,Pre,Domestic;,Reject;,No;,Domestic;,No;,No;,No;
Santa Catalina,2017,11,Pre,Domestic;,Accept;,Yes;,Domestic;,No;,No;,Yes;
Santa Catalina,2017,11,Pre,Domestic;,Accept;,No;,Domestic;Wild;,No;,No;,No;
Santa Catalina,2017,9,Pre,Domestic;,Accept;,Yes;,Domestic;,No;,No;,No;
Santa Catalina,2017,9,Pre,Domestic;,Accept;,Yes;,Domestic;,No;,No;,No;
Santa Catalina,2017,11,Pre,Domestic;,Reject;,No;,Domestic;,No;,No;,Yes;
Santa Catalina,2017,13,Pre,Domestic;,Reject;,No;,Domestic;,No;,No;,Yes;
San Juan,2018,10,Pre,Domestic;,Reject;,No;,Domestic;Wild;,Yes;,Yes;,Yes;
San Juan,2018,10,Pre,Domestic;Wild;,Accept;,Yes;,Domestic;Wild;,Yes;,No;,No;
San Juan,2018,11,Pre,,,,,,,
San Juan,2018,10,Pre,Domestic;Wild;,Reject;,Yes;,Domestic;,No;,Yes;,Yes;
San Juan,2018,10,Pre,Wild;,Accept;,Yes;,Domestic;Wild;,Not specified;,Yes;,Yes;
San Juan,2018,10,Pre,Domestic;,Reject;,No;,Domestic;,No;,Not specified;,Yes;
San Juan,2018,10,Pre,Domestic;,Reject;,Yes;,Domestic;,No;,Unknown;,Unknown;
San Juan,2018,9,Pre,Domestic;,Reject;,Yes;,Domestic;Wild;,No;,Yes;,Yes;
San Juan,2018,9,Pre,,,,,,,
San Juan,2018,10,Pre,,,,,,,
San Juan,2018,9,Pre,Domestic;,Reject;,Yes;,Domestic;,No;,Yes;,Yes;
San Juan,2018,10,Pre,Domestic;Wild;,Reject;,Yes;,Domestic;Wild;,No;,No;,No;
